method  , sim_id, p, q  , time               , n_models, aic               , bic
stepwise,    580, 1, 4.0, 13.522512197494507 ,     14.0, 5588.570579761781 , 5622.924866714656
stepwise,    581, 1, 4.0, 12.822299003601074 ,     13.0, 5493.314196321583 , 5527.668483274458
stepwise,    582, 1, 4.0, 13.562048196792603 ,     14.0, 5722.456778541113 , 5756.811065493987
stepwise,    583, 1, 5.0, 17.888075828552246 ,     17.0, 5486.722073156217 , 5525.984115388074
stepwise,    584, 2, 3.0, 11.8960599899292   ,     11.0, 5868.307289358287 , 5902.661576311161
stepwise,    585, 1, 5.0, 15.285192012786865 ,     16.0, 5628.728793694427 , 5667.990835926284
stepwise,    586, 1, 4.0, 12.295017004013062 ,     14.0, 5725.814246507029 , 5760.168533459903
stepwise,    587, 1, 4.0, 16.918778896331787 ,     14.0, 5400.596052068509 , 5434.950339021384
stepwise,    588, 1, 4.0, 12.439105987548828 ,     14.0, 5662.55218006614  , 5696.906467019015
stepwise,    589, 1, 5.0, 15.575752019882202 ,     16.0, 5483.444003516301 , 5522.7060457481575
stepwise,    590, 1, 4.0, 14.471137046813965 ,     14.0, 5686.777497018706 , 5721.13178397158
stepwise,    591, 2, 4.0, 18.744088888168335 ,     19.0, 5774.018737318487 , 5813.280779550344
stepwise,    592, 1, 4.0, 12.416059017181396 ,     14.0, 5602.240004780663 , 5636.594291733538
stepwise,    593, 1, 5.0, 17.2493679523468   ,     17.0, 5626.736778805743 , 5665.9988210376
stepwise,    594, 1, 4.0, 12.893926858901978 ,     14.0, 5515.277799757    , 5549.632086709875
stepwise,    595, 1, 5.0, 16.958309173583984 ,     16.0, 5647.559632129209 , 5686.821674361066
stepwise,    596, 1, 4.0, 13.814181089401245 ,     14.0, 5447.811161501309 , 5482.165448454183
stepwise,    597, 1, 6.0, 19.026843786239624 ,     18.0, 5585.476352477914 , 5629.646149988753
stepwise,    598, 1, 4.0, 16.3720920085907   ,     14.0, 5418.617072448205 , 5452.97135940108
stepwise,    599, 1, 5.0, 20.061208963394165 ,     17.0, 5659.5819455304445, 5698.843987762301
stepwise,    600, 1, 4.0, 13.188101053237915 ,     14.0, 5670.113922628747 , 5704.4682095816215
stepwise,    601, 1, 5.0, 16.495954036712646 ,     16.0, 5488.557378155475 , 5527.819420387332
stepwise,    602, 1, 5.0, 15.686664819717407 ,     16.0, 5584.392101601953 , 5623.65414383381
stepwise,    603, 1, 4.0, 13.294151067733765 ,     14.0, 5649.547059381992 , 5683.9013463348665
stepwise,    604, 1, 5.0, 15.496074914932251 ,     16.0, 5407.638184671311 , 5446.900226903168
stepwise,    605, 1, 5.0, 13.96430492401123  ,     16.0, 5669.403480487203 , 5708.6655227190595
stepwise,    606, 1, 4.0, 12.804218053817749 ,     14.0, 5831.109412597362 , 5865.463699550237
stepwise,    607, 1, 6.0, 19.15203285217285  ,     18.0, 5552.622028512876 , 5596.791826023715
stepwise,    608, 3, 4.0, 32.06625580787659  ,     20.0, 5414.015921672398 , 5458.185719183237
stepwise,    609, 2, 4.0, 19.496543169021606 ,     18.0, 5617.778847875656 , 5657.0408901075125
stepwise,    610, 1, 5.0, 15.341392993927002 ,     16.0, 5507.696833365405 , 5546.958875597262
stepwise,    611, 1, 5.0, 18.949846029281616 ,     16.0, 5686.209095395705 , 5725.471137627562
stepwise,    612, 1, 1.0,  7.6459410190582275,      9.0, 5568.209425299444 , 5587.840446415373
stepwise,    613, 1, 4.0, 13.691277027130127 ,     14.0, 5582.7331656067045, 5617.087452559579
stepwise,    614, 1, 5.0, 20.837718963623047 ,     23.0, 5637.867437230697 , 5677.129479462554
stepwise,    615, 1, 4.0, 12.2811598777771   ,     13.0, 5443.797616044855 , 5478.15190299773
stepwise,    616, 1, 2.0,  8.732025146484375 ,     10.0, 5658.11785449767  , 5682.656630892581
stepwise,    617, 1, 4.0, 12.450613975524902 ,     14.0, 5688.204356582521 , 5722.558643535395
stepwise,    618, 2, 0.0, 10.330137014389038 ,     11.0, 5734.151173608967 , 5753.782194724896
stepwise,    619, 2, 6.0, 23.93745183944702  ,     21.0, 5623.826265049636 , 5672.903817839458
stepwise,    620, 1, 5.0, 15.420076847076416 ,     16.0, 5547.512022150042 , 5586.774064381899
stepwise,    621, 3, 4.0, 23.819080114364624 ,     21.0, 5657.793855576071 , 5701.96365308691
stepwise,    622, 1, 4.0, 12.104798078536987 ,     14.0, 5588.484935813967 , 5622.839222766842
stepwise,    623, 2, 6.0, 24.71480393409729  ,     20.0, 5505.71853736196  , 5554.796090151782
stepwise,    624, 1, 4.0, 12.056852102279663 ,     14.0, 5467.2706571219405, 5501.624944074815
stepwise,    625, 1, 4.0, 14.004635095596313 ,     14.0, 5350.190822088258 , 5384.5451090411325
stepwise,    626, 1, 5.0, 15.927979946136475 ,     16.0, 5538.159648072655 , 5577.421690304512
stepwise,    627, 1, 6.0, 18.532225847244263 ,     19.0, 5489.3071591561575, 5533.476956666997
stepwise,    628, 1, 4.0, 13.184937000274658 ,     14.0, 5492.655349138948 , 5527.009636091822
stepwise,    629, 1, 2.0,  8.510823011398315 ,     10.0, 5602.8184790336845, 5627.357255428596
stepwise,    630, 1, 5.0, 14.750522136688232 ,     16.0, 5467.842046140564 , 5507.104088372421
stepwise,    631, 1, 5.0, 15.990644931793213 ,     17.0, 5701.147786788851 , 5740.409829020708
stepwise,    632, 1, 4.0, 13.2203049659729   ,     14.0, 5561.086675645753 , 5595.440962598627
