method,sim_id,p,q,time,n_models,aic,bic
grid_search,387,1,5.0,80.41111993789673,64.0,5569.4412946954035,5608.70333692726
grid_search,388,6,5.0,79.35334610939026,64.0,5501.201347333493,5565.002165960261
grid_search,389,1,4.0,80.24746894836426,64.0,5680.955700143866,5715.309987096741
grid_search,390,5,5.0,83.22509288787842,64.0,5576.755344595756,5635.648407943541
grid_search,391,1,4.0,77.74070000648499,64.0,5923.474703802326,5957.828990755201
grid_search,392,7,6.0,82.37805795669556,64.0,5620.28544187764,5693.901771062372
grid_search,393,4,7.0,83.07051396369934,64.0,5631.994727681459,5695.795546308227
grid_search,394,1,5.0,69.33570909500122,64.0,5697.104453781626,5736.366496013483
grid_search,395,4,4.0,83.09806299209595,64.0,5717.623163598254,5766.700716388075
grid_search,396,1,5.0,83.10540699958801,64.0,5483.780926632451,5523.042968864308
grid_search,397,1,5.0,74.12563681602478,64.0,5771.869056897683,5811.1310991295395
grid_search,398,1,6.0,79.17678999900818,64.0,5601.344554254277,5645.514351765116
grid_search,399,2,6.0,79.1393039226532,64.0,5655.9001152323335,5704.977668022155
grid_search,400,4,5.0,78.11601400375366,64.0,5622.872272875798,5676.857580944602
grid_search,401,4,4.0,84.70255589485168,64.0,5479.958726958497,5529.0362797483185
grid_search,402,1,4.0,75.72435307502747,64.0,5748.28613453579,5782.640421488664
grid_search,403,1,4.0,73.18584203720093,64.0,5681.000216298567,5715.354503251441
grid_search,404,7,4.0,90.11424493789673,64.0,5602.425887109628,5666.226705736396
grid_search,405,1,4.0,94.14349007606506,64.0,5286.515066375045,5320.869353327919
grid_search,406,3,6.0,80.70632910728455,64.0,5448.29662357924,5502.281931648044
grid_search,407,4,5.0,81.30538487434387,64.0,5393.1867784860015,5447.172086554805
grid_search,408,2,4.0,89.22884798049927,64.0,5799.513626509413,5838.77566874127
grid_search,409,3,4.0,83.3002290725708,64.0,5442.598215608724,5486.768013119563
grid_search,410,1,4.0,78.20369601249695,64.0,5679.518158611376,5713.8724455642505
grid_search,411,1,4.0,81.57960104942322,64.0,5605.0224603045635,5639.376747257438
grid_search,412,3,7.0,78.12573504447937,64.0,5589.325892283526,5648.2189556313115
grid_search,413,2,6.0,84.90257716178894,64.0,5503.145285307253,5552.222838097075
grid_search,414,2,7.0,86.27223086357117,64.0,5597.289112962517,5651.27442103132
grid_search,415,2,6.0,84.23097395896912,64.0,5463.572125349585,5512.649678139406
grid_search,416,1,4.0,77.14507007598877,64.0,5635.158532107066,5669.512819059941
grid_search,417,1,4.0,98.45991015434265,64.0,5357.937462541138,5392.291749494013
grid_search,418,1,5.0,81.37076997756958,64.0,5508.83498757368,5548.097029805537
grid_search,419,7,4.0,81.39192795753479,64.0,5636.7954645259615,5700.5962831527295
grid_search,420,2,6.0,82.3888590335846,64.0,5306.762067174786,5355.839619964608
grid_search,421,1,6.0,87.70392894744873,64.0,5482.5920147638835,5526.761812274723
