"sim_id","p_order","q_order","time","n_models_tested","aic","bic","intercept","sigmasq","beta1","beta2","beta3","beta4","beta5","beta6","beta7","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","mean.Temp.Lag5","mean.DTemp.Lag0","PM25.Lag0","mean.NO2.Lag2","status","error_message"
338,2,6,457.045249700546,26,5558.96563476665,5627.6742086724,0.0789388098174459,0.0244073696653194,0.180054974297028,0.127668033945616,,,,,,-0.181462158401581,0.267384331325923,0.0593446774290126,-0.430662739154402,0.192751328359474,0.760965769966594,,-0.00804004500248662,0.00814584808683059,0.00385497255650567,-0.007908351029826,"Success",""
339,2,3,279.8077647686,16,5617.3570880643,5671.34239613311,0.108603479321672,0.0227073122597408,0.144924381979524,0.0991412443223239,,,,,,-0.287861086454488,0.189610732186317,0.823031073033212,,,,,-0.00959568787373956,0.00972567470276554,0.00363315373997843,-0.00814032091574021,"Success",""
340,2,1,112.608685731888,11,5722.9178949657,5767.08769247654,0.0214614146860462,0.028497883528941,0.187296123138717,-0.148249963601429,,,,,,0.954453456196351,,,,,,,-0.00112055640900414,0.0011301955516748,0.000378436132729475,-0.000924467882071658,"Success",""
341,2,6,339.772171020508,25,5483.7261638208,5552.43473772655,0.0966202578357059,0.0185985914650636,0.189329541273781,0.12716961183969,,,,,,-0.0790951118846049,0.194840915385919,0.0632414412352095,-0.357952019634762,0.155500668457675,0.678885171634054,,-0.00624378228943131,0.0062053997875043,0.00294668316481645,-0.00410410087227195,"Success",""
342,2,1,86.8337798118591,11,5495.90313787247,5540.07293538331,0.0304085640725033,0.0248693978250674,0.159937192527706,-0.0985970196018138,,,,,,0.930078781497712,,,,,,,-0.00071773693589782,0.000708688984382595,0.000661900734498141,-0.00160391809001453,"Success",""
343,2,1,209.738775491714,11,5683.92613935371,5728.09593686455,0.0159272279226544,0.0209966074190802,0.204433666593582,-0.149950800946227,,,,,,0.9405950919878,,,,,,,-0.00133923151409554,0.00134290604788959,0.000491955622310675,-0.000620025852855805,"Success",""
344,1,3,137.835382223129,14,5649.00551843657,5698.08307122639,0.124618331338341,0.0240416011666443,0.147385742553617,,,,,,,-0.123543645820397,0.213947814656931,0.72665891913396,,,,,-0.00607734119292133,0.00599719452699342,-0.000252835970486889,0.00145356340935659,"Success",""
345,1,5,352.868974208832,20,5506.27744871938,5565.17051206717,0.0345147955767621,0.0277746066526726,0.206726720428652,,,,,,,0.599149979474156,-0.309508667589977,0.390220689806621,-0.60843733337013,0.711531998497765,,,-0.00364105988953984,0.00367474327478186,0.000284593051712262,-0.00176572425892345,"Success",""
346,1,3,136.289374113083,13,5525.93696489439,5575.01451768422,0.19303297082006,0.0240108681252023,0.106306592255041,,,,,,,0.0314720708228791,-0.0657974395362028,0.869085731862785,,,,,-0.00258147645029359,0.00243321907641683,0.00246065767405502,-0.00300325643716716,"Success",""
347,1,6,381.700179338455,23,5420.84778839415,5484.64860702092,0.0351274925643581,0.0263390302122495,0.234221706518147,,,,,,,0.446832751952593,-0.226080675022895,0.336901217025322,-0.59963647348909,0.609362267679242,0.187313735167458,,-0.00590383775472244,0.00595624228714067,0.00303962813703894,-0.00472101611398356,"Success",""
348,3,1,166.684777975082,16,5607.52393261181,5656.60148540163,0.0089025156330276,0.0228620114671025,0.206844819138036,-0.0704141237064262,-0.0929956284588291,,,,,0.953862917394783,,,,,,,-0.000899652747370626,0.000905736809961339,0.000627591354073072,-0.000950653919340078,"Success",""
