"sim_id","p_order","q_order","time","n_models_tested","aic","bic","intercept","sigmasq","beta1","beta2","beta3","beta4","beta5","beta6","beta7","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","mean.Temp.Lag5","mean.DTemp.Lag0","PM25.Lag0","mean.NO2.Lag2","status","error_message"
808,3,2,61.6231887340546,16,5347.79858252486,5401.78389059367,0.0446780935650723,0.0281304482055663,0.255975163287987,0.0432034269777045,-0.186463454753296,,,,,-0.0644237249710997,0.938554500377681,,,,,,-0.00352172636958009,0.00353615928926593,0.00157963893815752,-0.00289209598442713,"Success",""
809,2,1,31.2695910930634,11,5453.16646990747,5497.33626741831,0.0279798138986821,0.0151392522196805,0.196811893113854,-0.122155091843307,,,,,,0.917205164169541,,,,,,,-0.00121076012574972,0.00118587765271061,0.000135643788643095,-1e-04,"Success",""
810,2,3,59.9034056663513,15,5643.52561140601,5697.51091947481,0.0803529813109785,0.0298344366743113,0.166506714650106,0.08276652788191,,,,,,-0.25683903226253,0.14742992352576,0.837311844239285,,,,,-0.00553434068690462,0.00550731168018834,0.00288716297269212,-0.00353311133344215,"Success",""
811,1,3,86.6994128227234,14,5579.92438914594,5629.00194193576,0.00724940724861764,0.021397017168204,0.193538241342402,,,,,,,0.0815352821778553,0.0962374983982857,0.626461038479323,,,,,-0.00317002917201605,0.00321381328606856,0.000784231984004099,-0.00192769365532993,"Success",""
812,2,1,40.2591083049774,11,5813.55726743627,5857.72706494711,0.0244996052833624,0.0380620064113955,0.222473209087769,-0.167921616621418,,,,,,0.938007315536203,,,,,,,-0.00188768118761249,0.00188669938143625,0.000862437926126278,-0.000843469377000816,"Success",""
813,2,1,35.3545134067535,11,5442.78230907914,5486.95210658998,0.00173478971376563,0.0273432386968178,0.199049237309573,-0.148542627195456,,,,,,0.948961182339113,,,,,,,-0.00218674669342125,0.00222781106879738,0.000947462287608791,-0.00173471066741891,"Success",""
814,2,1,28.9116170406342,11,5833.59169993885,5877.76149744969,0.028102902670307,0.0212954970757839,0.194081358558933,-0.127289433539453,,,,,,0.924385955435362,,,,,,,-0.00147559593357373,0.00147637208598077,0.000566805988050901,-0.000615888030530241,"Success",""
815,2,1,38.8657093048096,11,5472.79552136451,5516.96531887535,0.0393950295915432,0.0251276443904817,0.237892628800372,-0.200005808691141,,,,,,0.949440435797417,,,,,,,-0.00136936440040249,0.00137921940673068,0.000416793667910388,-0.00134252457114653,"Success",""
816,2,7,99.2893486022949,23,5460.96334614479,5534.57967532952,0.10730058370561,0.0139148213133625,0.248625314382609,0.23090929757695,,,,,,-0.739174509035135,0.185548461655979,0.212756277524504,-0.201607351051362,-0.0316908988322995,0.733966196360381,0.326720332976345,-0.0122447983734584,0.0122973318728047,0.00408332688844026,-0.00549865963761569,"Success",""
817,2,1,34.0164465904236,11,5596.57042535037,5640.74022286121,0.0224953242657832,0.0291880037092385,0.218438912050042,-0.145758631065622,,,,,,0.92023341120359,,,,,,,-0.00194521898364217,0.00192247020371244,0.00165007750091338,-0.00109529328239741,"Success",""
818,2,1,129.731540679932,11,5655.05395529663,5699.22375280747,0.0171314270370908,0.0202557026763791,0.181811439267391,-0.150251494932895,,,,,,0.963622941550176,,,,,,,-0.00181808775196613,0.00181857846572149,0.000853183206943315,-0.000828860949667252,"Success",""
819,4,2,65.1881580352783,17,5675.48416633768,5734.37722968547,0.0357375356130785,0.0235429954028117,0.199302126078148,0.0892168638072481,-0.122846870630964,-0.0836692511529099,,,,-0.0115666234069571,0.918892511577851,,,,,,-0.00289951236255008,0.00294213262158797,0.00100035933455854,-0.00247063962719184,"Success",""
820,2,1,29.5904071331024,11,5531.6776632577,5575.84746076854,0.0310230128694909,0.0313435212405513,0.152016546014564,-0.0999230158903188,,,,,,0.938192436098606,,,,,,,-0.00105189601273599,0.00103731992576748,0.000118722936631326,-0.000252461016831382,"Success",""
821,2,3,61.5229272842407,16,5499.3114578315,5553.2967659003,0.0519791713449309,0.0125990658297683,0.191250494454764,0.0789640595908072,,,,,,-0.207064523451707,0.183644421314199,0.73844969220115,,,,,-0.00605986434879556,0.00609133162212477,0.00314261834636611,-0.00488562895565537,"Success",""
822,2,6,105.063169956207,24,5576.92295257443,5645.63152648018,0.172708079305899,0.0197240673671384,0.194371246418847,0.134692087790796,,,,,,-0.26319147763424,0.329822664895639,0.0290057976687083,-0.309796180304212,0.0372650942270056,0.794874145120747,,-0.00126050265808848,0.00106653774186985,0.00187907958583929,-0.00146595826455563,"Success",""
823,2,1,43.6865351200104,11,5604.57482575203,5648.74462326287,0.0592357560946759,0.0220947038967346,0.221912657066379,-0.168453505321978,,,,,,0.929818697297188,,,,,,,-0.00160210382799756,0.00154932664252615,0.00102133008330504,-0.000860983158768888,"Success",""
824,1,3,57.5501000881195,13,5573.28156411757,5622.3591169074,0.044289587920432,0.0229332813925117,0.177032674083272,,,,,,,-0.15531222390713,0.270421418284396,0.695127899596768,,,,,-0.00363081361204427,0.00370615143051995,0.000754504874243851,-0.00394041594885808,"Success",""
825,2,1,35.2224931716919,11,5636.62565866098,5680.79545617182,0.00980985724796799,0.0308990122070058,0.157692601365345,-0.123491889847548,,,,,,0.96278468987305,,,,,,,-0.000863788564285846,0.000896569169178199,-1e-04,-0.00101415574793542,"Success",""
