"method"     , "sim_id", "p_order", "q_order", "time"           , "n_models_tested", "aic"           , "bic"           , "intercept"        , "sigmasq"         , "beta1"           , "beta2"            , "beta3"            , "beta4"          , "alpha1"           , "alpha2"            , "alpha3"          , "alpha4"         , "status" , "error_message"
"stepwise"   ,       58,         1,         2, 12.1100000000006 ,                11, 2065.00112160618, 2086.07416209829, 1.58849661077568   , 0.117755543283383 , 0.226546769875868 ,                    ,                    ,                  , -0.304419480045564 , -0.400472331450951  ,                   ,                  , "Success", ""
"stepwise"   ,       59,         1,         0,  6.9900000000016 ,                 6, 2021.95511226445, 2034.59893655971, 1.00416691640658   , 0.0738291796408684, 0.0798776805336919,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       60,         1,         0,  6.82999999999811,                 6, 2023.79343479192, 2036.43725908719, 0.890096308115522  , 0.099609855900149 , 0.152277740738938 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       61,         1,         0,  7.06999999999971,                 6, 2009.69341699583, 2022.33724129109, 0.908707841439124  , 0.118355536811456 , 0.108025622622267 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       62,         1,         0,  6.75            ,                 6, 1988.07757110174, 2000.721395397  , 0.676704780349795  , 0.0483196559948958, 0.325528912172041 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       63,         1,         0,  6.77000000000044,                 6, 2013.27324952353, 2025.9170738188 , 0.862859437030876  , 0.075516316166008 , 0.18013921218151  ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       64,         1,         1,  9.2599999999984 ,                 8, 1969.48821687468, 1986.34664926837, 0.364252904105485  , 0.0935439903577067, 0.221934154991486 ,                    ,                    ,                  , 0.380184322901903  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       65,         1,         0,  7.18999999999869,                 6, 1975.40791403081, 1988.05173832607, 0.72877056381001   , 0.096159093384844 , 0.23722998145676  ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       66,         1,         0,  6.77999999999884,                 6, 1992.58106223144, 2005.2248865267 , 0.868979699476369  , 0.10076311421421  , 0.127620654850862 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       67,         1,         0,  6.92000000000189,                 6, 2019.97702756402, 2032.62085185928, 0.881287799528995  , 0.0972553620821708, 0.157217289543851 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       68,         1,         0,  6.61000000000058,                 6, 2003.96235287715, 2016.60617717242, 0.804465622739482  , 0.0869579457348531, 0.213948405703603 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       69,         1,         0,  6.52999999999884,                 6, 2077.33915978105, 2089.98298407631, 0.876257847617947  , 0.13342579087112  , 0.197543872116736 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       70,         1,         0,  6.82999999999811,                 6, 2026.85426562606, 2039.49808992133, 0.859763983153072  , 0.0952846516871794, 0.164547458759845 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       71,         1,         2, 13.2799999999988 ,                11, 2012.52761199583, 2033.60065248794, 0.70039953797941   , 0.0952627424869574, 0.139500270515288 ,                    ,                    ,                  , 0.906340380120943  , -0.734694371753448  ,                   ,                  , "Success", ""
"stepwise"   ,       72,         1,         0,  6.86000000000058,                 6, 2068.88091320045, 2081.52473749571, 0.84307170046148   , 0.147700498177894 , 0.19634380300672  ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       73,         2,         2, 12.0299999999988 ,                10, 1980.51915534076, 2005.80680393129, 0.503040962602125  , 0.0659238574844386, 0.212732889735654 , 0.125522856519069  ,                    ,                  , -0.446773388009154 , 0.568088222382141   ,                   ,                  , "Success", ""
"stepwise"   ,       74,         1,         0,  6.91999999999825,                 6, 2008.42758442621, 2021.07140872148, 0.885496764677048  , 0.107378377767075 , 0.137985876681966 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       75,         1,         0,  6.72999999999956,                 6, 2008.19942651972, 2020.84325081499, 0.804148465069565  , 0.104986941278175 , 0.203359514146051 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       76,         2,         0, 11.3300000000017 ,                10, 2027.0761584935 , 2043.93459088719, 0.660626667207683  , 0.0903737843538834, 0.18068548797178  , 0.155474709580491  ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       77,         2,         1, 10.8899999999994 ,                 9, 1992.58883854103, 2013.66187903314, 0.00971995009943441, 0.0629257319315085, 0.206791174709275 , -0.145507187956165 ,                    ,                  , 0.919989115148069  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       78,         1,         0,  7.25            ,                 6, 2035.88315626191, 2048.52698055718, 0.81586481302073   , 0.13475824759424  , 0.191716757888208 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       79,         1,         1,  9.36999999999898,                 8, 2036.80378559636, 2053.66221799005, 0.186823076312287  , 0.127548308618302 , 0.16412339410264  ,                    ,                    ,                  , 0.634805004443526  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       80,         1,         3, 16.3600000000006 ,                13, 1970.90551212777, 1996.1931607183 , 0.498432489386172  , 0.0827696953777481, 0.186924511991223 ,                    ,                    ,                  , 0.492236454332318  , -0.713871221365081  , 0.507268723021655 ,                  , "Success", ""
"stepwise"   ,       81,         0,         0,  5.68000000000029,                 5, 1973.27630358841, 1981.70551978526, 1.06125650201048   , 0.0481896731640361,                   ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       82,         1,         0,  6.97999999999956,                 6, 2031.33739326651, 2043.98121756178, 0.852034683708129  , 0.121495566375912 , 0.17270951220221  ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       83,         1,         0,  6.84000000000015,                 6, 2010.68115428572, 2023.32497858099, 0.829450243239479  , 0.0864514844284685, 0.185106085675611 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       84,         1,         1,  9.59999999999854,                 8, 2013.13213887931, 2029.990571273  , 0.205861886061044  , 0.0866621388261329, 0.140228058297704 ,                    ,                    ,                  , 0.645100890120151  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       85,         1,         4, 16.0200000000004 ,                14, 2052.53091229855, 2082.03316898751, 0.517960489024732  , 0.162026929949782 , 0.195496248553782 ,                    ,                    ,                  , -0.108292878490789 , -0.00729490582904278, -0.218699554087482, 0.619935900446578, "Success", ""
"stepwise"   ,       86,         1,         0,  7.36000000000058,                 6, 2035.46191488361, 2048.10573917888, 0.743927902211646  , 0.155011568814138 , 0.250248164339057 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       87,         1,         0,  6.68999999999869,                 6, 2040.38161889226, 2053.02544318752, 0.850059668326976  , 0.0759469695469476, 0.216642308771607 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       88,         1,         0,  6.82999999999811,                 6, 2030.66327441844, 2043.30709871371, 0.73009977336553   , 0.113875591510985 , 0.285420192178307 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       89,         1,         0,  6.91999999999825,                 6, 1980.68940066924, 1993.3332249645 , 0.898524771194377  , 0.0675863470012146, 0.142720373749675 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       90,         1,         1,  9.35999999999694,                 8, 1973.31031590293, 1990.16874829661, 0.217466348217619  , 0.0665000823260775, 0.104433072884364 ,                    ,                    ,                  , 0.669481652388523  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       91,         1,         0,  7.16999999999825,                 6, 1980.88955470551, 1993.53337900078, 0.763401038785267  , 0.122280152608786 , 0.198098801292234 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       92,         1,         0,  6.77999999999884,                 6, 2019.56127221015, 2032.20509650541, 0.801129741645572  , 0.104967109208356 , 0.225039618035728 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       93,         2,         1, 10.869999999999  ,                 9, 2024.26270855716, 2045.33574904927, 0.00690719274176755, 0.11835024263303  , 0.203354428293294 , -0.181572669355228 ,                    ,                  , 0.968769757936522  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       94,         1,         0,  7.36999999999898,                 6, 2026.15203376931, 2038.79585806457, 0.898147984085349  , 0.120467612405976 , 0.127388847266624 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       95,         1,         0,  6.90000000000146,                 6, 2020.69791010303, 2033.34173439829, 0.826451119534723  , 0.108585409581718 , 0.200399407349923 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       96,         1,         0,  7.31999999999971,                 6, 2017.78536664062, 2030.42919093588, 0.854406865078936  , 0.118803217017515 , 0.178650197425645 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       97,         1,         0,  7.36999999999898,                 6, 2029.5670038367 , 2042.21082813196, 0.813993500686807  , 0.102235479683357 , 0.214047904099755 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       98,         1,         1,  9.07999999999811,                 8, 2071.03284961665, 2087.89128201034, 0.287165663871921  , 0.138924988339137 , 0.179160977534855 ,                    ,                    ,                  , 0.537211909302366  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       99,         1,         0,  6.80999999999767,                 6, 2011.7069394975 , 2024.35076379277, 0.764919761190905  , 0.0898968873664227, 0.253552624619472 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,      100,         1,         3, 15               ,                13, 1959.05676305205, 1984.34441164258, 0.538332384276303  , 0.0476663648234618, 0.246967317982334 ,                    ,                    ,                  , 0.179183935373297  , -0.382520749998468  , 0.39710566087048  ,                  , "Success", ""
"grid_search",        1,         1,         0, 17.3499999999985 ,                  , 1993.61440050912, 2006.25822480439, 0.848183194583306  , 0.088231300355746 , 0.173532109394748 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
